Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Buffalo,Offal,Contamination,2019-07,Wales,1,2,1,50
Buffalo,Offal,Fluke Mature,2019-07,Wales,2,2,1,100
Buffalo,Offal,Fluke Mature,2019-08,Wales,2,2,1,100
Buffalo,Offal,Hepatic Scarring,2019-08,England,1,19,6,5.263
Buffalo,Offal,Liver Abscesses,2019-09,England,1,7,5,14.286
Buffalo,Offal,Other,2019-07,England,3,22,7,13.636
Buffalo,Offal,Other,2019-08,England,1,19,6,5.263
Buffalo,Offal,Pleurisy,2019-07,England,1,22,7,4.545
Buffalo,Offal,Pleurisy,2019-08,England,1,19,6,5.263
Buffalo,Offal,Pneumonia,2019-07,England,1,22,7,4.545
Buffalo,Offal,Pneumonia,2019-07,Wales,1,2,1,50
Calves,AnteMortem,Abnormal Respiratory Signs,2019-07,England,15,5614,22,0.267
Calves,AnteMortem,Abnormal Respiratory Signs,2019-08,England,20,7178,23,0.279
Calves,AnteMortem,Abnormal Respiratory Signs,2019-09,England,8,3293,14,0.243
Calves,AnteMortem,Abnormal Respiratory Signs,2019-07,Wales,1,1363,2,0.073
Calves,AnteMortem,Abnormal Respiratory Signs,2019-08,Wales,1,1158,1,0.086
Calves,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2019-08,England,1,7178,23,0.014
Calves,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2019-07,Wales,2,1363,2,0.147
Calves,AnteMortem,Dermatitis,2019-07,England,2,5614,22,0.036
Calves,AnteMortem,Dermatitis,2019-09,England,1,3293,14,0.03
Calves,AnteMortem,Diarrhoea,2019-07,England,20,5614,22,0.356
Calves,AnteMortem,Diarrhoea,2019-08,England,21,7178,23,0.293
Calves,AnteMortem,Diarrhoea,2019-09,England,16,3293,14,0.486
Calves,AnteMortem,Eye Condition,2019-08,England,1,7178,23,0.014
Calves,AnteMortem,Eye Condition,2019-09,England,3,3293,14,0.091
Calves,AnteMortem,Eye Condition,2019-07,Wales,1,1363,2,0.073
Calves,AnteMortem,Lameness – Foot Lesion(s),2019-07,England,1,5614,22,0.018
Calves,AnteMortem,Lameness – Foot Lesion(s),2019-08,England,1,7178,23,0.014
Calves,AnteMortem,Lameness – Joint/Leg Lesion(s),2019-08,England,1,7178,23,0.014
Calves,AnteMortem,Lameness – Joint/Leg Lesion(s),2019-09,England,5,3293,14,0.152
Calves,AnteMortem,Lameness – Not Defined,2019-07,England,5,5614,22,0.089
Calves,AnteMortem,Localised Swelling/Lumps,2019-08,England,3,7178,23,0.042
Calves,AnteMortem,Other,2019-07,England,1,5614,22,0.018
Calves,AnteMortem,Other,2019-08,England,1,7178,23,0.014
Calves,AnteMortem,Papilloma,2019-08,England,1,7178,23,0.014
Calves,AnteMortem,Ringworm,2019-07,England,3,5614,22,0.053
Calves,AnteMortem,Ringworm,2019-08,England,1,7178,23,0.014
Calves,AnteMortem,Ringworm,2019-07,Wales,5,1363,2,0.367
Calves,AnteMortem,Slaughtered in Lairage,2019-07,Wales,2,1363,2,0.147
Calves,AnteMortem,Suspect Emaciation/Poor Condition,2019-08,England,1,7178,23,0.014
Calves,AnteMortem,Suspect Emaciation/Poor Condition,2019-09,England,6,3293,14,0.182
Calves,Carcases,Abscesses – Forequarters,2019-07,England,1,5614,22,0.018
Calves,Carcases,Abscesses – Forequarters,2019-08,England,4,7178,23,0.056
Calves,Carcases,Abscesses – Forequarters,2019-09,England,3,3293,14,0.091
Calves,Carcases,Abscesses – Hindquarters,2019-07,England,1,5614,22,0.018
Calves,Carcases,Abscesses – Hindquarters,2019-08,England,3,7178,23,0.042
Calves,Carcases,Abscesses – Hindquarters,2019-09,England,1,3293,14,0.03
Calves,Carcases,Abscesses – Neck,2019-07,England,2,5614,22,0.036
Calves,Carcases,Abscesses – Neck,2019-09,England,2,3293,14,0.061
Calves,Carcases,Bruising,2019-07,England,15,5614,22,0.267
Calves,Carcases,Bruising,2019-08,England,12,7178,23,0.167
Calves,Carcases,Bruising,2019-09,England,13,3293,14,0.395
Calves,Carcases,Contamination,2019-07,England,219,5614,22,3.901
Calves,Carcases,Contamination,2019-08,England,188,7178,23,2.619
Calves,Carcases,Contamination,2019-09,England,120,3293,14,3.644
Calves,Carcases,Contamination,2019-07,Wales,20,1363,2,1.467
Calves,Carcases,Hydatid Cyst,2019-08,England,7,7178,23,0.098
Calves,Carcases,Joint Lesions (Incl. Arthritis),2019-07,England,10,5614,22,0.178
Calves,Carcases,Joint Lesions (Incl. Arthritis),2019-08,England,10,7178,23,0.139
Calves,Carcases,Joint Lesions (Incl. Arthritis),2019-09,England,2,3293,14,0.061
Calves,Carcases,Joint Lesions (Incl. Arthritis),2019-07,Wales,2,1363,2,0.147
Calves,Carcases,Other,2019-07,England,39,5614,22,0.695
Calves,Carcases,Other,2019-08,England,24,7178,23,0.334
Calves,Carcases,Other,2019-09,England,11,3293,14,0.334
Calves,Head,Contamination,2019-07,England,24,5614,22,0.428
Calves,Head,Contamination,2019-08,England,20,7178,23,0.279
Calves,Head,Contamination,2019-09,England,2,3293,14,0.061
Calves,Head,Other,2019-07,England,10,5614,22,0.178
Calves,Head,Other,2019-08,England,6,7178,23,0.084
Calves,Head,Other,2019-09,England,2,3293,14,0.061
Calves,Head,Other,2019-07,Wales,4,1363,2,0.293
Calves,Offal,Contamination,2019-07,England,222,5614,22,3.954
Calves,Offal,Contamination,2019-08,England,171,7178,23,2.382
Calves,Offal,Contamination,2019-09,England,105,3293,14,3.189
Calves,Offal,Contamination,2019-07,Wales,14,1363,2,1.027
Calves,Offal,Contamination,2019-08,Wales,2,1158,1,0.173
Calves,Offal,Contamination,2019-09,Wales,6,307,2,1.954
Calves,Offal,Fluke Immature,2019-07,England,16,5614,22,0.285
Calves,Offal,Fluke Immature,2019-08,England,11,7178,23,0.153
Calves,Offal,Fluke Immature,2019-09,England,18,3293,14,0.547
Calves,Offal,Fluke Mature,2019-07,England,1,5614,22,0.018
Calves,Offal,Fluke Mature,2019-08,England,16,7178,23,0.223
Calves,Offal,Fluke Mature,2019-07,Wales,3,1363,2,0.22
Calves,Offal,Fluke Mature,2019-09,Wales,2,307,2,0.651
Calves,Offal,Hepatic Scarring,2019-07,England,18,5614,22,0.321
Calves,Offal,Hepatic Scarring,2019-08,England,17,7178,23,0.237
Calves,Offal,Hepatic Scarring,2019-09,England,12,3293,14,0.364
Calves,Offal,Hepatic Scarring,2019-09,Wales,1,307,2,0.326
Calves,Offal,Hydatid Cysts,2019-08,Wales,2,1158,1,0.173
Calves,Offal,Liver Abscesses,2019-07,England,20,5614,22,0.356
Calves,Offal,Liver Abscesses,2019-08,England,18,7178,23,0.251
Calves,Offal,Liver Abscesses,2019-09,England,1,3293,14,0.03
Calves,Offal,Liver Abscesses,2019-07,Wales,1,1363,2,0.073
Calves,Offal,Liver Abscesses,2019-08,Wales,2,1158,1,0.173
Calves,Offal,Liver Abscesses,2019-09,Wales,1,307,2,0.326
Calves,Offal,Lungworm,2019-07,England,1,5614,22,0.018
Calves,Offal,Lungworm,2019-07,Wales,2,1363,2,0.147
Calves,Offal,Other,2019-07,England,127,5614,22,2.262
Calves,Offal,Other,2019-08,England,156,7178,23,2.173
Calves,Offal,Other,2019-09,England,11,3293,14,0.334
Calves,Offal,Pleurisy,2019-07,England,48,5614,22,0.855
Calves,Offal,Pleurisy,2019-08,England,53,7178,23,0.738
Calves,Offal,Pleurisy,2019-09,England,10,3293,14,0.304
Calves,Offal,Pneumonia,2019-07,England,439,5614,22,7.82
Calves,Offal,Pneumonia,2019-08,England,377,7178,23,5.252
Calves,Offal,Pneumonia,2019-09,England,141,3293,14,4.282
Calves,Offal,Pneumonia,2019-07,Wales,39,1363,2,2.861
Calves,Offal,Pneumonia,2019-08,Wales,40,1158,1,3.454
Calves,Offal,Pneumonia,2019-09,Wales,21,307,2,6.84
Calves,Offal,Traumatic Pericarditis,2019-07,England,4,5614,22,0.071
Calves,Offal,Traumatic Pericarditis,2019-08,England,9,7178,23,0.125
Calves,Offal,Traumatic Pericarditis,2019-09,England,2,3293,14,0.061
Calves,Total Rejections,Abnormal Odour - Uraemia,2019-07,Wales,2,1363,2,0.147
Calves,Total Rejections,Contamination,2019-07,England,4,5614,22,0.071
Calves,Total Rejections,Generalised Oedema/Emaciation,2019-07,England,3,5614,22,0.053
Calves,Total Rejections,Generalised Oedema/Emaciation,2019-08,England,1,7178,23,0.014
Calves,Total Rejections,Generalised Oedema/Emaciation,2019-09,England,2,3293,14,0.061
Calves,Total Rejections,Generalised Oedema/Emaciation,2019-07,Wales,2,1363,2,0.147
Calves,Total Rejections,Generalised Oedema/Emaciation,2019-08,Wales,2,1158,1,0.173
