Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Bison,AM,Emergency Slaughter on Farm ,2017-06,England,1,1,1,100
Bison,Offal,Hepatic Scarring,2017-06,England,1,1,1,100
Buffalo,Carcases,Abscesses ? Forequarters,2017-05,England,1,31,4,3.226
Buffalo,Offal,Contamination,2017-04,England,4,34,3,11.765
Buffalo,Offal,Contamination,2017-05,England,6,31,4,19.355
Buffalo,Offal,Contamination,2017-06,England,4,30,3,13.333
Buffalo,Offal,Fluke Mature,2017-05,England,2,31,4,6.452
Buffalo,Offal,Fluke Mature,2017-05,Wales,1,1,1,100
Buffalo,Offal,Hepatic Scarring,2017-04,England,1,34,3,2.941
Buffalo,Offal,Hepatic Scarring,2017-06,Wales,1,1,1,100
Buffalo,Offal,Liver Abscesses,2017-04,England,1,34,3,2.941
Buffalo,Offal,Other,2017-05,England,1,31,4,3.226
Buffalo,Offal,Other,2017-06,England,1,30,3,3.333
Buffalo,Offal,Pneumonia,2017-05,England,2,31,4,6.452
Buffalo,Offal,Pneumonia,2017-05,Wales,1,1,1,100
Buffalo,Offal,Traumatic Pericarditis,2017-04,England,1,34,3,2.941
Buffalo,Offal,Traumatic Pericarditis,2017-05,England,1,31,4,3.226
Buffalo,Offal,Traumatic Pericarditis,2017-06,England,2,30,3,6.667
Calves,AM,Abnormal Respiratory Signs,2017-04,England,11,6632,27,0.166
Calves,AM,Abnormal Respiratory Signs,2017-05,England,4,4315,21,0.093
Calves,AM,Abnormal Respiratory Signs,2017-06,England,4,4401,23,0.091
Calves,AM,Abnormal Swelling (e.g.Bloat) ,2017-04,England,2,6632,27,0.03
Calves,AM,Diarrhoea,2017-04,England,11,6632,27,0.166
Calves,AM,Ectoparasites ? Localised,2017-06,England,2,4401,23,0.045
Calves,AM,Emergency Slaughter on Farm ,2017-06,England,1,4401,23,0.023
Calves,AM,Eye Condition,2017-04,England,2,6632,27,0.03
Calves,AM,Eye Condition,2017-05,England,1,4315,21,0.023
Calves,AM,Eye Condition,2017-06,England,1,4401,23,0.023
Calves,AM,Lameness ? Joint/Leg Lesion(s),2017-04,England,1,6632,27,0.015
Calves,AM,Lameness ? Joint/Leg Lesion(s),2017-05,England,1,4315,21,0.023
Calves,AM,Lameness ? Joint/Leg Lesion(s),2017-05,Wales,1,675,3,0.148
Calves,AM,Lameness ? Not Defined,2017-04,England,1,6632,27,0.015
Calves,AM,Lameness ? Not Defined,2017-05,England,3,4315,21,0.07
Calves,AM,Lameness ? Not Defined,2017-06,England,1,4401,23,0.023
Calves,AM,Localised Swelling/Lumps,2017-04,England,2,6632,27,0.03
Calves,AM,Localised Swelling/Lumps,2017-06,England,1,4401,23,0.023
Calves,AM,Mastitis,2017-04,England,1,6632,27,0.015
Calves,AM,Other,2017-04,England,2,6632,27,0.03
Calves,AM,Other,2017-05,England,1,4315,21,0.023
Calves,AM,Other,2017-06,England,1,4401,23,0.023
Calves,AM,Ringworm,2017-04,England,9,6632,27,0.136
Calves,AM,Ringworm,2017-05,England,7,4315,21,0.162
Calves,AM,Ringworm,2017-06,England,20,4401,23,0.454
Calves,AM,Slaughtered in Lairage,2017-06,England,1,4401,23,0.023
Calves,AM,Suspect Emaciation/Poor Condition,2017-05,England,1,4315,21,0.023
Calves,AM,Suspect Fever,2017-04,England,1,6632,27,0.015
Calves,AM,Suspect Fever,2017-06,England,1,4401,23,0.023
Calves,Carcases,Abscesses ? Forequarters,2017-04,England,10,6632,27,0.151
Calves,Carcases,Abscesses ? Forequarters,2017-05,England,2,4315,21,0.046
Calves,Carcases,Abscesses ? Forequarters,2017-06,England,2,4401,23,0.045
Calves,Carcases,Abscesses ? Hindquarters,2017-04,England,4,6632,27,0.06
Calves,Carcases,Abscesses ? Hindquarters,2017-05,England,1,4315,21,0.023
Calves,Carcases,Abscesses ? Hindquarters,2017-06,England,2,4401,23,0.045
Calves,Carcases,Abscesses ? Neck,2017-04,England,10,6632,27,0.151
Calves,Carcases,Bruising,2017-04,England,14,6632,27,0.211
Calves,Carcases,Bruising,2017-05,England,6,4315,21,0.139
Calves,Carcases,Bruising,2017-06,England,6,4401,23,0.136
Calves,Carcases,Contamination,2017-04,England,120,6632,27,1.809
Calves,Carcases,Contamination,2017-05,England,75,4315,21,1.738
Calves,Carcases,Contamination,2017-06,England,142,4401,23,3.227
Calves,Carcases,Contamination,2017-04,Wales,6,629,2,0.954
