Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Bison,AnteMortem,Emergency Slaughter on Farm ,2019-01,England,2,4,1,50
Buffalo,Carcases,Contamination,2019-03,England,1,8,4,12.5
Buffalo,Carcases,Other,2019-03,England,1,8,4,12.5
Buffalo,Offal,Fluke Immature,2019-01,Wales,1,1,1,100
Buffalo,Offal,Fluke Mature,2019-01,England,1,7,5,14.286
Buffalo,Offal,Fluke Mature,2019-02,Wales,1,2,1,50
Buffalo,Offal,Liver Abscesses,2019-02,England,1,16,4,6.25
Buffalo,Offal,Other,2019-02,England,2,16,4,12.5
Buffalo,Offal,Other,2019-03,England,2,8,4,25
Buffalo,Offal,Traumatic Pericarditis,2019-03,England,1,8,4,12.5
Calves,AnteMortem,Abnormal Respiratory Signs,2019-01,England,14,6495,25,0.216
Calves,AnteMortem,Abnormal Respiratory Signs,2019-02,England,22,8841,25,0.249
Calves,AnteMortem,Abnormal Respiratory Signs,2019-03,England,24,14809,29,0.162
Calves,AnteMortem,Dead in Lairage (DIL),2019-03,England,2,14809,29,0.014
Calves,AnteMortem,Dead on Arrival (DOA),2019-03,England,1,14809,29,0.007
Calves,AnteMortem,Dermatitis,2019-01,England,1,6495,25,0.015
Calves,AnteMortem,Dermatitis,2019-02,England,1,8841,25,0.011
Calves,AnteMortem,Dermatitis,2019-03,England,5,14809,29,0.034
Calves,AnteMortem,Diarrhoea,2019-01,England,19,6495,25,0.293
Calves,AnteMortem,Diarrhoea,2019-02,England,55,8841,25,0.622
Calves,AnteMortem,Diarrhoea,2019-03,England,45,14809,29,0.304
Calves,AnteMortem,Eye Condition,2019-02,England,1,8841,25,0.011
Calves,AnteMortem,Eye Condition,2019-03,England,4,14809,29,0.027
Calves,AnteMortem,Lameness ? Foot Lesion(s),2019-03,England,2,14809,29,0.014
Calves,AnteMortem,Lameness ? Joint/Leg Lesion(s),2019-01,England,2,6495,25,0.031
Calves,AnteMortem,Lameness ? Joint/Leg Lesion(s),2019-02,England,1,8841,25,0.011
Calves,AnteMortem,Lameness ? Joint/Leg Lesion(s),2019-03,England,3,14809,29,0.02
Calves,AnteMortem,Lameness ? Not Defined,2019-02,England,2,8841,25,0.023
Calves,AnteMortem,Lameness ? Not Defined,2019-03,England,1,14809,29,0.007
Calves,AnteMortem,Localised Swelling/Lumps,2019-03,England,1,14809,29,0.007
Calves,AnteMortem,Mastitis,2019-03,England,8,14809,29,0.054
Calves,AnteMortem,Ringworm,2019-01,England,2,6495,25,0.031
Calves,AnteMortem,Ringworm,2019-02,England,1,8841,25,0.011
Calves,AnteMortem,Suspect Emaciation/Poor Condition,2019-01,England,2,6495,25,0.031
Calves,AnteMortem,Suspect Emaciation/Poor Condition,2019-02,England,5,8841,25,0.057
Calves,AnteMortem,Suspect Emaciation/Poor Condition,2019-03,England,6,14809,29,0.041
Calves,Carcases,Abscesses ? Forequarters,2019-01,England,8,6495,25,0.123
Calves,Carcases,Abscesses ? Forequarters,2019-02,England,4,8841,25,0.045
Calves,Carcases,Abscesses ? Forequarters,2019-03,England,1,14809,29,0.007
Calves,Carcases,Abscesses ? Hindquarters,2019-01,England,7,6495,25,0.108
Calves,Carcases,Abscesses ? Hindquarters,2019-02,England,4,8841,25,0.045
Calves,Carcases,Abscesses ? Hindquarters,2019-03,England,4,14809,29,0.027
Calves,Carcases,Abscesses ? Neck,2019-03,England,1,14809,29,0.007
Calves,Carcases,Bruising,2019-01,England,11,6495,25,0.169
Calves,Carcases,Bruising,2019-02,England,15,8841,25,0.17
Calves,Carcases,Bruising,2019-03,England,13,14809,29,0.088
Calves,Carcases,Contamination,2019-01,England,197,6495,25,3.033
Calves,Carcases,Contamination,2019-02,England,303,8841,25,3.427
Calves,Carcases,Contamination,2019-03,England,379,14809,29,2.559
Calves,Carcases,Contamination,2019-01,Wales,10,799,2,1.252
Calves,Carcases,Contamination,2019-02,Wales,5,686,2,0.729
Calves,Carcases,Contamination,2019-03,Wales,9,1169,2,0.77
Calves,Carcases,Joint Lesions (Incl. Arthritis),2019-01,England,12,6495,25,0.185
