Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Buffalo,AnteMortem,Localised Swelling/Lumps,2020-02,England,1,17,6,5.882
Buffalo,Carcases,Abscesses – Hindquarters,2020-03,England,1,17,5,5.882
Buffalo,Carcases,Other,2020-01,England,1,17,7,5.882
Buffalo,Carcases,Other,2020-03,England,2,17,5,11.765
Buffalo,Offal,Contamination,2020-02,England,1,17,6,5.882
Buffalo,Offal,Fluke Mature,2020-01,England,1,17,7,5.882
Buffalo,Offal,Fluke Mature,2020-02,England,1,17,6,5.882
Buffalo,Offal,Fluke Mature,2020-03,England,1,17,5,5.882
Buffalo,Offal,Fluke Mature,2020-03,Wales,1,1,1,100
Buffalo,Offal,Hepatic Scarring,2020-03,England,2,17,5,11.765
Buffalo,Offal,Other,2020-01,England,1,17,7,5.882
Buffalo,Offal,Other,2020-03,England,3,17,5,17.647
Buffalo,Offal,Pleurisy,2020-03,England,2,17,5,11.765
Calves,AnteMortem,Abnormal Respiratory Signs,2020-01,England,49,5460,23,0.897
Calves,AnteMortem,Abnormal Respiratory Signs,2020-02,England,69,7436,21,0.928
Calves,AnteMortem,Abnormal Respiratory Signs,2020-03,England,91,12188,29,0.747
Calves,AnteMortem,Abnormal Respiratory Signs,2020-01,Wales,3,1561,3,0.192
Calves,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2020-01,England,5,5460,23,0.092
Calves,AnteMortem,Dead in Lairage (DIL),2020-01,England,1,5460,23,0.018
Calves,AnteMortem,Dead on Arrival (DOA),2020-01,England,1,5460,23,0.018
Calves,AnteMortem,Dead on Arrival (DOA),2020-03,England,2,12188,29,0.016
Calves,AnteMortem,Dermatitis,2020-01,England,3,5460,23,0.055
Calves,AnteMortem,Dermatitis,2020-03,Wales,2,2663,6,0.075
Calves,AnteMortem,Diarrhoea,2020-01,England,7,5460,23,0.128
Calves,AnteMortem,Diarrhoea,2020-02,England,18,7436,21,0.242
Calves,AnteMortem,Diarrhoea,2020-03,England,23,12188,29,0.189
Calves,AnteMortem,Ectoparasites – Localised,2020-01,England,2,5460,23,0.037
Calves,AnteMortem,Emergency Slaughter on Farm ,2020-01,Wales,1,1561,3,0.064
Calves,AnteMortem,Eye Condition,2020-01,England,3,5460,23,0.055
Calves,AnteMortem,Eye Condition,2020-02,England,3,7436,21,0.04
Calves,AnteMortem,Eye Condition,2020-03,England,4,12188,29,0.033
Calves,AnteMortem,Eye Condition,2020-01,Wales,1,1561,3,0.064
Calves,AnteMortem,Eye Condition,2020-02,Wales,1,1371,3,0.073
Calves,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-01,England,1,5460,23,0.018
Calves,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-02,England,2,7436,21,0.027
