Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Bison,AnteMortem,Emergency Slaughter on Farm ,2020-07,England,2,3,2,66.667
Bison,AnteMortem,Other,2020-07,England,1,3,2,33.333
Bison,Offal,Hepatic Scarring,2020-07,England,1,3,2,33.333
Buffalo,Carcases,Other,2020-09,England,4,23,5,17.391
Buffalo,Offal,Contamination,2020-08,England,2,28,6,7.143
Buffalo,Offal,Fluke Mature,2020-07,England,3,28,6,10.714
Buffalo,Offal,Fluke Mature,2020-08,England,2,28,6,7.143
Buffalo,Offal,Fluke Mature,2020-09,England,1,23,5,4.348
Buffalo,Offal,Fluke Mature,2020-08,Wales,1,3,1,33.333
Buffalo,Offal,Other,2020-07,England,2,28,6,7.143
Buffalo,Offal,Other,2020-08,England,2,28,6,7.143
Buffalo,Offal,Other,2020-09,England,2,23,5,8.696
Buffalo,Offal,Pleurisy,2020-07,England,1,28,6,3.571
Buffalo,Offal,Pleurisy,2020-09,England,2,23,5,8.696
Buffalo,Offal,Pneumonia,2020-08,England,2,28,6,7.143
Calves,AnteMortem,Abnormal Respiratory Signs,2020-07,England,30,3706,26,0.809
Calves,AnteMortem,Abnormal Respiratory Signs,2020-08,England,37,3813,27,0.97
Calves,AnteMortem,Abnormal Respiratory Signs,2020-09,England,14,6051,23,0.231
Calves,AnteMortem,Abnormal Respiratory Signs,2020-08,Wales,4,1006,2,0.398
Calves,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2020-07,England,1,3706,26,0.027
Calves,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2020-08,England,2,3813,27,0.052
Calves,AnteMortem,Dermatitis,2020-07,England,1,3706,26,0.027
Calves,AnteMortem,Dermatitis,2020-09,England,1,6051,23,0.017
Calves,AnteMortem,Diarrhoea,2020-07,England,16,3706,26,0.432
Calves,AnteMortem,Diarrhoea,2020-08,England,24,3813,27,0.629
Calves,AnteMortem,Diarrhoea,2020-09,England,9,6051,23,0.149
Calves,AnteMortem,Diarrhoea,2020-08,Wales,2,1006,2,0.199
Calves,AnteMortem,Diarrhoea,2020-09,Wales,1,1947,3,0.051
Calves,AnteMortem,Emergency Slaughter on Farm ,2020-09,England,3,6051,23,0.05
Calves,AnteMortem,Eye Condition,2020-07,England,5,3706,26,0.135
Calves,AnteMortem,Eye Condition,2020-08,England,5,3813,27,0.131
Calves,AnteMortem,Eye Condition,2020-09,England,12,6051,23,0.198
Calves,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-07,England,1,3706,26,0.027
Calves,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-08,England,2,3813,27,0.052
Calves,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-09,England,1,6051,23,0.017
Calves,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-09,England,7,6051,23,0.116
Calves,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-07,Wales,1,885,3,0.113
Calves,AnteMortem,Lameness – Not Defined,2020-09,England,3,6051,23,0.05
Calves,AnteMortem,Lameness – Not Defined,2020-08,Wales,2,1006,2,0.199
Calves,AnteMortem,Localised Swelling/Lumps,2020-08,England,1,3813,27,0.026
Calves,AnteMortem,Localised Swelling/Lumps,2020-09,England,4,6051,23,0.066
Calves,AnteMortem,Moribund/ Recumbent,2020-07,England,1,3706,26,0.027
Calves,AnteMortem,Moribund/ Recumbent,2020-07,England,1,3706,26,0.027
