Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Bison,AM,Emergency Slaughter on Farm ,2016-11,Wales,2,2,1,100
Bison,Carcases,Other,2016-10,England,1,2,1,50
Bison,Offal,Fluke Immature,2016-11,England,1,1,1,100
Bison,Offal,Fluke Immature,2017-01,England,1,2,1,50
Bison,Offal,Fluke Mature,2017-03,England,2,3,1,66.667
Bison,Offal,Liver Abscesses,2016-10,England,1,2,1,50
Bison,Offal,Liver Abscesses,2016-11,Wales,1,2,1,50
Buffalo,AM,Peri-parturition,2016-10,England,1,77,6,1.299
Buffalo,Carcases,Abscesses ? Forequarters,2016-09,England,1,54,3,1.852
Buffalo,Carcases,Bruising,2016-08,England,1,98,3,1.02
Buffalo,Carcases,Bruising,2016-11,England,1,86,4,1.163
Buffalo,Carcases,Contamination,2017-02,England,2,27,3,7.407
Buffalo,Carcases,Other,2016-07,England,10,44,3,22.727
Buffalo,Carcases,Other,2016-08,England,2,98,3,2.041
Buffalo,Carcases,Other,2016-11,England,1,86,4,1.163
Buffalo,Carcases,Other,2017-02,England,1,27,3,3.704
Buffalo,Head,Contamination,2016-11,England,1,86,4,1.163
Buffalo,Head,Other,2016-09,England,1,54,3,1.852
Buffalo,Offal,Contamination,2016-11,England,11,86,4,12.791
Buffalo,Offal,Contamination,2016-12,England,2,11,3,18.182
Buffalo,Offal,Contamination,2017-01,England,2,33,3,6.061
Buffalo,Offal,Contamination,2017-02,England,4,27,3,14.815
Buffalo,Offal,Contamination,2017-03,England,3,29,3,10.345
Buffalo,Offal,Fluke Mature,2017-01,England,2,33,3,6.061
Buffalo,Offal,Fluke Mature,2017-01,Wales,1,1,1,100
Buffalo,Offal,Hepatic Scarring,2016-09,England,1,54,3,1.852
Buffalo,Offal,Hepatic Scarring,2016-11,England,1,86,4,1.163
Buffalo,Offal,Hepatic Scarring,2016-12,England,1,11,3,9.091
Buffalo,Offal,Hepatic Scarring,2017-03,England,3,29,3,10.345
Buffalo,Offal,Liver Abscesses,2016-07,England,1,44,3,2.273
Buffalo,Offal,Other,2016-07,England,1,44,3,2.273
Buffalo,Offal,Other,2016-08,England,7,98,3,7.143
Buffalo,Offal,Other,2016-09,England,9,54,3,16.667
Buffalo,Offal,Other,2016-10,England,25,77,6,32.468
Buffalo,Offal,Other,2016-11,England,16,86,4,18.605
Buffalo,Offal,Other,2017-01,England,2,33,3,6.061
Buffalo,Offal,Other,2017-02,England,3,27,3,11.111
Buffalo,Offal,Other,2017-01,Wales,1,1,1,100
Buffalo,Offal,Pleurisy,2016-07,England,2,44,3,4.545
Buffalo,Offal,Pleurisy,2016-11,England,3,86,4,3.488
Buffalo,Offal,Pleurisy,2017-01,Wales,1,1,1,100
Buffalo,Offal,Pneumonia,2016-08,England,1,98,3,1.02
Buffalo,Offal,Pneumonia,2017-01,Wales,1,1,1,100
Buffalo,Offal,Traumatic Pericarditis,2016-08,England,2,98,3,2.041
Buffalo,Offal,Traumatic Pericarditis,2016-09,England,5,54,3,9.259
Buffalo,Offal,Traumatic Pericarditis,2016-10,England,4,77,6,5.195
Buffalo,Offal,Traumatic Pericarditis,2016-11,England,6,86,4,6.977
Buffalo,Offal,Traumatic Pericarditis,2017-01,England,1,33,3,3.03
Buffalo,Offal,Traumatic Pericarditis,2017-03,England,2,29,3,6.897
Calves,AM,Abnormal Respiratory Signs,2016-07,England,8,3669,32,0.218
Calves,AM,Abnormal Respiratory Signs,2016-08,England,4,4907,29,0.082
Calves,AM,Abnormal Respiratory Signs,2016-09,England,19,9337,31,0.203
Calves,AM,Abnormal Respiratory Signs,2016-10,England,25,8104,32,0.308
Calves,AM,Abnormal Respiratory Signs,2016-11,England,35,7249,30,0.483
Calves,AM,Abnormal Respiratory Signs,2016-12,England,31,6211,28,0.499
Calves,AM,Abnormal Respiratory Signs,2017-01,England,19,5889,29,0.323
Calves,AM,Abnormal Respiratory Signs,2017-02,England,22,8248,29,0.267
Calves,AM,Abnormal Respiratory Signs,2017-03,England,11,12236,29,0.09
Calves,AM,Abnormal Respiratory Signs,2016-08,Wales,4,1701,3,0.235
Calves,AM,Abnormal Respiratory Signs,2016-09,Wales,4,1356,5,0.295
Calves,AM,Abnormal Respiratory Signs,2016-11,Wales,1,677,3,0.148
Calves,AM,Abnormal Respiratory Signs,2016-12,Wales,1,380,2,0.263
Calves,AM,Abnormal Respiratory Signs,2017-01,Wales,1,626,2,0.16
Calves,AM,Abnormal Swelling (e.g.Bloat) ,2016-07,England,2,3669,32,0.055
Calves,AM,Abnormal Swelling (e.g.Bloat) ,2016-09,England,1,9337,31,0.011
Calves,AM,Abnormal Swelling (e.g.Bloat) ,2016-10,England,1,8104,32,0.012
Calves,AM,Abnormal Swelling (e.g.Bloat) ,2016-11,England,2,7249,30,0.028
Calves,AM,Abnormal Swelling (e.g.Bloat) ,2017-01,England,2,5889,29,0.034
Calves,AM,Abnormal Swelling (e.g.Bloat) ,2017-02,England,5,8248,29,0.061
Calves,AM,Dead in Lairage (DIL),2017-02,England,2,8248,29,0.024
Calves,AM,Dead on Arrival (DOA),2016-11,England,2,7249,30,0.028
Calves,AM,Dead on Arrival (DOA),2016-12,England,2,6211,28,0.032
Calves,AM,Dead on Arrival (DOA),2017-01,England,2,5889,29,0.034
Calves,AM,Dermatitis,2016-07,England,3,3669,32,0.082
Calves,AM,Dermatitis,2016-08,England,4,4907,29,0.082
Calves,AM,Dermatitis,2016-09,England,7,9337,31,0.075
Calves,AM,Dermatitis,2016-10,England,6,8104,32,0.074
Calves,AM,Dermatitis,2017-01,England,1,5889,29,0.017
Calves,AM,Dermatitis,2017-02,England,2,8248,29,0.024
Calves,AM,Dermatitis,2017-03,England,2,12236,29,0.016
Calves,AM,Dermatitis,2016-08,Wales,1,1701,3,0.059
Calves,AM,Dermatitis,2016-11,Wales,1,677,3,0.148
Calves,AM,Diarrhoea,2016-07,England,9,3669,32,0.245
Calves,AM,Diarrhoea,2016-08,England,2,4907,29,0.041
Calves,AM,Diarrhoea,2016-09,England,7,9337,31,0.075
Calves,AM,Diarrhoea,2016-10,England,17,8104,32,0.21
Calves,AM,Diarrhoea,2016-11,England,12,7249,30,0.166
Calves,AM,Diarrhoea,2016-12,England,5,6211,28,0.081
Calves,AM,Diarrhoea,2017-01,England,5,5889,29,0.085
Calves,AM,Diarrhoea,2017-02,England,5,8248,29,0.061
Calves,AM,Diarrhoea,2017-03,England,3,12236,29,0.025
Calves,AM,Diarrhoea,2016-09,Wales,2,1356,5,0.147
Calves,AM,Ectoparasites ? Localised,2016-08,Wales,1,1701,3,0.059
Calves,AM,Ectoparasites ? Localised,2016-11,Wales,1,677,3,0.148
Calves,AM,Emergency Slaughter on Farm ,2016-10,England,2,8104,32,0.025
Calves,AM,Emergency Slaughter on Farm ,2016-11,England,1,7249,30,0.014
Calves,AM,Eye Condition,2016-07,England,2,3669,32,0.055
Calves,AM,Eye Condition,2016-08,England,1,4907,29,0.02
Calves,AM,Eye Condition,2016-09,England,9,9337,31,0.096
Calves,AM,Eye Condition,2016-10,England,1,8104,32,0.012
Calves,AM,Eye Condition,2016-12,England,3,6211,28,0.048
Calves,AM,Eye Condition,2017-02,England,3,8248,29,0.036
Calves,AM,Eye Condition,2017-03,England,7,12236,29,0.057
Calves,AM,Eye Condition,2017-01,Wales,1,626,2,0.16
Calves,AM,Lameness ? Foot Lesion(s),2016-08,England,2,4907,29,0.041
