???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Cattle,AnteMortem,Abnormal Respiratory Signs,2017-07,England,446,116159,147,0.384
Cattle,AnteMortem,Abnormal Respiratory Signs,2017-08,England,533,124750,145,0.427
Cattle,AnteMortem,Abnormal Respiratory Signs,2017-09,England,479,130514,146,0.367
Cattle,AnteMortem,Abnormal Respiratory Signs,2017-07,Wales,29,10190,16,0.285
Cattle,AnteMortem,Abnormal Respiratory Signs,2017-08,Wales,44,11592,16,0.38
Cattle,AnteMortem,Abnormal Respiratory Signs,2017-09,Wales,32,11348,15,0.282
Cattle,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2017-07,England,57,116159,147,0.049
Cattle,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2017-08,England,44,124750,145,0.035
Cattle,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2017-09,England,43,130514,146,0.033
Cattle,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2017-08,Wales,5,11592,16,0.043
Cattle,AnteMortem,Dead in Lairage (DIL),2017-07,England,8,116159,147,0.007
Cattle,AnteMortem,Dead in Lairage (DIL),2017-08,England,9,124750,145,0.007
Cattle,AnteMortem,Dead in Lairage (DIL),2017-09,England,7,130514,146,0.005
Cattle,AnteMortem,Dead in Lairage (DIL),2017-09,Wales,6,11348,15,0.053
Cattle,AnteMortem,Dead on Arrival (DOA),2017-07,England,4,116159,147,0.003
Cattle,AnteMortem,Dead on Arrival (DOA),2017-08,England,9,124750,145,0.007
Cattle,AnteMortem,Dead on Arrival (DOA),2017-09,England,3,130514,146,0.002
Cattle,AnteMortem,Dermatitis,2017-07,England,69,116159,147,0.059
Cattle,AnteMortem,Dermatitis,2017-08,England,79,124750,145,0.063
Cattle,AnteMortem,Dermatitis,2017-09,England,84,130514,146,0.064
Cattle,AnteMortem,Dermatitis,2017-07,Wales,2,10190,16,0.02
Cattle,AnteMortem,Dermatitis,2017-08,Wales,1,11592,16,0.009
Cattle,AnteMortem,Dermatitis,2017-09,Wales,1,11348,15,0.009
Cattle,AnteMortem,Diarrhoea,2017-07,England,233,116159,147,0.201
Cattle,AnteMortem,Diarrhoea,2017-08,England,359,124750,145,0.288
Cattle,AnteMortem,Diarrhoea,2017-09,England,313,130514,146,0.24
Cattle,AnteMortem,Diarrhoea,2017-07,Wales,8,10190,16,0.079
Cattle,AnteMortem,Diarrhoea,2017-08,Wales,3,11592,16,0.026
Cattle,AnteMortem,Diarrhoea,2017-09,Wales,1,11348,15,0.009
Cattle,AnteMortem,Ectoparasites ??? Generalised,2017-07,England,1,116159,147,0.001
Cattle,AnteMortem,Ectoparasites ??? Localised,2017-07,England,13,116159,147,0.011
Cattle,AnteMortem,Ectoparasites ??? Localised,2017-08,England,37,124750,145,0.03
Cattle,AnteMortem,Ectoparasites ??? Localised,2017-09,England,14,130514,146,0.011
Cattle,AnteMortem,Ectoparasites ??? Localised,2017-08,Wales,2,11592,16,0.017
Cattle,AnteMortem,Emergency Slaughter on Farm ,2017-07,England,538,116159,147,0.463
Cattle,AnteMortem,Emergency Slaughter on Farm ,2017-08,England,504,124750,145,0.404
Cattle,AnteMortem,Emergency Slaughter on Farm ,2017-09,England,553,130514,146,0.424
Cattle,AnteMortem,Eye Condition,2017-07,England,148,116159,147,0.127
Cattle,AnteMortem,Eye Condition,2017-08,England,162,124750,145,0.13
Cattle,AnteMortem,Eye Condition,2017-09,England,161,130514,146,0.123
Cattle,AnteMortem,Eye Condition,2017-07,Wales,19,10190,16,0.186
Cattle,AnteMortem,Eye Condition,2017-08,Wales,15,11592,16,0.129
Cattle,AnteMortem,Eye Condition,2017-09,Wales,10,11348,15,0.088
Cattle,AnteMortem,Lameness ??? Foot Lesion(s),2017-07,England,692,116159,147,0.596
Cattle,AnteMortem,Lameness ??? Foot Lesion(s),2017-08,England,727,124750,145,0.583
Cattle,AnteMortem,Lameness ??? Foot Lesion(s),2017-09,England,757,130514,146,0.58
Cattle,AnteMortem,Lameness ??? Foot Lesion(s),2017-07,Wales,10,10190,16,0.098
Cattle,AnteMortem,Lameness ??? Foot Lesion(s),2017-08,Wales,22,11592,16,0.19
Cattle,AnteMortem,Lameness ??? Foot Lesion(s),2017-09,Wales,19,11348,15,0.167
Cattle,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2017-07,England,311,116159,147,0.268
Cattle,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2017-08,England,398,124750,145,0.319
Cattle,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2017-09,England,377,130514,146,0.289
Cattle,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2017-07,Wales,7,10190,16,0.069
Cattle,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2017-08,Wales,18,11592,16,0.155
Cattle,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2017-09,Wales,14,11348,15,0.123
Cattle,AnteMortem,Lameness - Not Defined,2017-07,England,15,116159,147,0.013
Cattle,AnteMortem,Lameness ??? Not Defined,2017-07,England,497,116159,147,0.428
Cattle,AnteMortem,Lameness ??? Not Defined,2017-08,England,593,124750,145,0.475
Cattle,AnteMortem,Lameness ??? Not Defined,2017-09,England,577,130514,146,0.442
Cattle,AnteMortem,Lameness ??? Not Defined,2017-07,Wales,57,10190,16,0.559
Cattle,AnteMortem,Lameness ??? Not Defined,2017-08,Wales,62,11592,16,0.535
Cattle,AnteMortem,Lameness ??? Not Defined,2017-09,Wales,35,11348,15,0.308
Cattle,AnteMortem,Localised Swelling/Lumps,2017-07,England,270,116159,147,0.232
Cattle,AnteMortem,Localised Swelling/Lumps,2017-08,England,250,124750,145,0.2
Cattle,AnteMortem,Localised Swelling/Lumps,2017-09,England,205,130514,146,0.157
Cattle,AnteMortem,Localised Swelling/Lumps,2017-07,Wales,3,10190,16,0.029
Cattle,AnteMortem,Localised Swelling/Lumps,2017-08,Wales,5,11592,16,0.043
Cattle,AnteMortem,Localised Swelling/Lumps,2017-09,Wales,5,11348,15,0.044
Cattle,AnteMortem,Mastitis,2017-07,England,529,116159,147,0.455
Cattle,AnteMortem,Mastitis,2017-08,England,698,124750,145,0.56
Cattle,AnteMortem,Mastitis,2017-09,England,656,130514,146,0.503
Cattle,AnteMortem,Mastitis,2017-07,Wales,6,10190,16,0.059
Cattle,AnteMortem,Mastitis,2017-08,Wales,10,11592,16,0.086
Cattle,AnteMortem,Mastitis,2017-09,Wales,10,11348,15,0.088
Cattle,AnteMortem,Moribund/ Recumbent,2017-07,England,7,116159,147,0.006
