Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Bison,Offal,Fluke Mature,2018-11,England,1,2,1,50
Buffalo,Carcases,Contamination,2018-11,England,5,20,4,25
Buffalo,Offal,Contamination,2018-10,England,6,20,3,30
Buffalo,Offal,Fluke Immature,2018-11,Wales,1,1,1,100
Buffalo,Offal,Fluke Mature,2018-12,England,1,11,2,9.091
Buffalo,Offal,Hepatic Scarring,2018-10,England,2,20,3,10
Buffalo,Offal,Hepatic Scarring,2018-11,England,7,20,4,35
Buffalo,Offal,Other,2018-10,England,1,20,3,5
Buffalo,Offal,Other,2018-12,England,3,11,2,27.273
Buffalo,Offal,Pleurisy,2018-11,England,1,20,4,5
Buffalo,Offal,Pneumonia,2018-11,England,3,20,4,15
Buffalo,Offal,Pneumonia,2018-12,England,1,11,2,9.091
Buffalo,Offal,Traumatic Pericarditis,2018-11,England,5,20,4,25
Buffalo,Offal,Traumatic Pericarditis,2018-12,England,1,11,2,9.091
Calves,AnteMortem,Abnormal Respiratory Signs,2018-10,England,8,10317,25,0.078
Calves,AnteMortem,Abnormal Respiratory Signs,2018-11,England,4,9891,25,0.04
Calves,AnteMortem,Abnormal Respiratory Signs,2018-12,England,9,6065,22,0.148
Calves,AnteMortem,Abnormal Respiratory Signs,2018-11,Wales,1,831,3,0.12
Calves,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2018-10,England,1,10317,25,0.01
Calves,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2018-11,England,1,9891,25,0.01
Calves,AnteMortem,Dead on Arrival (DOA),2018-10,England,4,10317,25,0.039
Calves,AnteMortem,Dermatitis,2018-10,England,8,10317,25,0.078
Calves,AnteMortem,Dermatitis,2018-11,England,5,9891,25,0.051
Calves,AnteMortem,Dermatitis,2018-12,England,5,6065,22,0.082
Calves,AnteMortem,Diarrhoea,2018-10,England,2,10317,25,0.019
Calves,AnteMortem,Diarrhoea,2018-11,England,16,9891,25,0.162
Calves,AnteMortem,Diarrhoea,2018-12,England,22,6065,22,0.363
Calves,AnteMortem,Ectoparasites ? Localised,2018-12,England,3,6065,22,0.049
Calves,AnteMortem,Emergency Slaughter on Farm ,2018-11,England,1,9891,25,0.01
Calves,AnteMortem,Eye Condition,2018-10,England,18,10317,25,0.174
Calves,AnteMortem,Eye Condition,2018-11,England,2,9891,25,0.02
Calves,AnteMortem,Eye Condition,2018-10,Wales,1,868,2,0.115
Calves,AnteMortem,Eye Condition,2018-11,Wales,1,831,3,0.12
Calves,AnteMortem,Lameness ? Foot Lesion(s),2018-11,England,4,9891,25,0.04
Calves,AnteMortem,Lameness ? Joint/Leg Lesion(s),2018-11,England,2,9891,25,0.02
Calves,AnteMortem,Lameness ? Joint/Leg Lesion(s),2018-12,England,2,6065,22,0.033
Calves,AnteMortem,Lameness ? Not Defined,2018-10,England,2,10317,25,0.019
Calves,AnteMortem,Localised Swelling/Lumps,2018-10,England,1,10317,25,0.01
Calves,AnteMortem,Mastitis,2018-11,England,1,9891,25,0.01
Calves,AnteMortem,Other,2018-11,Wales,2,831,3,0.241
Calves,AnteMortem,Ringworm,2018-10,England,13,10317,25,0.126
Calves,AnteMortem,Ringworm,2018-11,England,4,9891,25,0.04
Calves,AnteMortem,Suspect Emaciation/Poor Condition,2018-11,England,5,9891,25,0.051
Calves,AnteMortem,Suspect Emaciation/Poor Condition,2018-12,England,1,6065,22,0.016
Calves,Carcases,Abscesses ? Forequarters,2018-10,England,4,10317,25,0.039
Calves,Carcases,Abscesses ? Forequarters,2018-11,England,1,9891,25,0.01
Calves,Carcases,Abscesses ? Forequarters,2018-12,England,7,6065,22,0.115
Calves,Carcases,Abscesses ? Hindquarters,2018-10,England,4,10317,25,0.039
Calves,Carcases,Abscesses ? Hindquarters,2018-11,England,3,9891,25,0.03
Calves,Carcases,Abscesses ? Hindquarters,2018-12,England,5,6065,22,0.082
Calves,Carcases,Abscesses ? Neck,2018-10,England,1,10317,25,0.01
Calves,Carcases,Bruising,2018-10,England,9,10317,25,0.087
Calves,Carcases,Bruising,2018-11,England,16,9891,25,0.162
Calves,Carcases,Bruising,2018-12,England,12,6065,22,0.198
Calves,Carcases,Bruising,2018-11,Wales,1,831,3,0.12
Calves,Carcases,Contamination,2018-10,England,275,10317,25,2.666
Calves,Carcases,Contamination,2018-11,England,206,9891,25,2.083
Calves,Carcases,Contamination,2018-12,England,238,6065,22,3.924
Calves,Carcases,Contamination,2018-10,Wales,11,868,2,1.267
Calves,Carcases,Contamination,2018-11,Wales,10,831,3,1.203
Calves,Carcases,Contamination,2018-12,Wales,3,431,3,0.696
Calves,Carcases,Joint Lesions (Incl. Arthritis),2018-10,England,4,10317,25,0.039
Calves,Carcases,Joint Lesions (Incl. Arthritis),2018-11,England,13,9891,25,0.131
Calves,Carcases,Joint Lesions (Incl. Arthritis),2018-12,England,12,6065,22,0.198
Calves,Carcases,Other,2018-10,England,68,10317,25,0.659
Calves,Carcases,Other,2018-11,England,71,9891,25,0.718
Calves,Carcases,Other,2018-12,England,76,6065,22,1.253
Calves,Head,Contamination,2018-10,England,44,10317,25,0.426
Calves,Head,Contamination,2018-11,England,10,9891,25,0.101
Calves,Head,Other,2018-10,England,1,10317,25,0.01
Calves,Head,Other,2018-11,England,1,9891,25,0.01
Calves,Offal,Contamination,2018-10,England,164,10317,25,1.59
Calves,Offal,Contamination,2018-11,England,122,9891,25,1.233
Calves,Offal,Contamination,2018-12,England,87,6065,22,1.434
Calves,Offal,Contamination,2018-10,Wales,3,868,2,0.346
Calves,Offal,Contamination,2018-11,Wales,1,831,3,0.12
Calves,Offal,Cysticercus bovis,2018-12,England,1,6065,22,0.016
Calves,Offal,Fluke Immature,2018-11,England,19,9891,25,0.192
Calves,Offal,Fluke Immature,2018-12,England,11,6065,22,0.181
Calves,Offal,Fluke Immature,2018-10,Wales,1,868,2,0.115
Calves,Offal,Fluke Mature,2018-10,England,11,10317,25,0.107
Calves,Offal,Fluke Mature,2018-11,England,11,9891,25,0.111
