Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Buffalo,AnteMortem,Emergency Slaughter on Farm ,2017-10,England,1,32,5,3.125
Buffalo,Carcases,Abscesses ??? Forequarters,2017-11,England,1,28,5,3.571
Buffalo,Carcases,Bruising,2017-11,England,1,28,5,3.571
Buffalo,Carcases,Contamination,2017-10,England,1,32,5,3.125
Buffalo,Carcases,Contamination,2017-11,England,3,28,5,10.714
Buffalo,Carcases,Other,2017-12,England,1,9,1,11.111
Buffalo,Offal,Contamination,2017-10,England,3,32,5,9.375
Buffalo,Offal,Contamination,2017-11,England,5,28,5,17.857
Buffalo,Offal,Fluke Mature,2017-11,England,1,28,5,3.571
Buffalo,Offal,Hepatic Scarring,2017-10,England,1,32,5,3.125
Buffalo,Offal,Liver Abscesses,2017-11,England,1,28,5,3.571
Buffalo,Offal,Other,2017-10,England,1,32,5,3.125
Buffalo,Offal,Pneumonia,2017-11,England,1,28,5,3.571
Calves,AnteMortem,Abnormal Respiratory Signs,2017-10,England,5,8428,28,0.059
Calves,AnteMortem,Abnormal Respiratory Signs,2017-11,England,13,8130,30,0.16
Calves,AnteMortem,Abnormal Respiratory Signs,2017-12,England,7,4573,25,0.153
Calves,AnteMortem,Abnormal Respiratory Signs,2017-10,Wales,5,567,3,0.882
Calves,AnteMortem,Abnormal Respiratory Signs,2017-11,Wales,3,670,2,0.448
Calves,AnteMortem,Abnormal Respiratory Signs,2017-12,Wales,1,153,2,0.654
Calves,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2017-11,England,1,8130,30,0.012
Calves,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2017-12,England,3,4573,25,0.066
Calves,AnteMortem,Dead in Lairage (DIL),2017-12,England,2,4573,25,0.044
Calves,AnteMortem,Dead on Arrival (DOA),2017-11,England,2,8130,30,0.025
Calves,AnteMortem,Dermatitis,2017-11,England,1,8130,30,0.012
Calves,AnteMortem,Dermatitis,2017-12,England,6,4573,25,0.131
Calves,AnteMortem,Diarrhoea,2017-12,England,6,4573,25,0.131
Calves,AnteMortem,Diarrhoea,2017-12,Wales,1,153,2,0.654
Calves,AnteMortem,Ectoparasites ??? Localised,2017-12,England,1,4573,25,0.022
Calves,AnteMortem,Ectoparasites ??? Localised,2017-11,Wales,1,670,2,0.149
Calves,AnteMortem,Emergency Slaughter on Farm ,2017-10,England,7,8428,28,0.083
Calves,AnteMortem,Eye Condition,2017-10,England,2,8428,28,0.024
Calves,AnteMortem,Eye Condition,2017-12,England,1,4573,25,0.022
Calves,AnteMortem,Eye Condition,2017-11,Wales,1,670,2,0.149
Calves,AnteMortem,Lameness ??? Foot Lesion(s),2017-11,England,3,8130,30,0.037
Calves,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2017-10,England,1,8428,28,0.012
Calves,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2017-11,England,3,8130,30,0.037
Calves,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2017-12,England,1,4573,25,0.022
Calves,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2017-10,Wales,1,567,3,0.176
Calves,AnteMortem,Lameness ??? Not Defined,2017-10,England,6,8428,28,0.071
Calves,AnteMortem,Lameness ??? Not Defined,2017-11,England,3,8130,30,0.037
Calves,AnteMortem,Lameness ??? Not Defined,2017-12,England,5,4573,25,0.109
Calves,AnteMortem,Localised Swelling/Lumps,2017-10,England,2,8428,28,0.024
Calves,AnteMortem,Localised Swelling/Lumps,2017-10,Wales,2,567,3,0.353
Calves,AnteMortem,Moribund/ Recumbent,2017-12,England,2,4573,25,0.044
Calves,AnteMortem,Other,2017-10,England,1,8428,28,0.012
Calves,AnteMortem,Ringworm,2017-10,England,3,8428,28,0.036
Calves,AnteMortem,Ringworm,2017-11,England,15,8130,30,0.185
Calves,AnteMortem,Ringworm,2017-12,England,1,4573,25,0.022
Calves,AnteMortem,Suspect Emaciation/Poor Condition,2017-10,England,1,8428,28,0.012
Calves,AnteMortem,Suspect Emaciation/Poor Condition,2017-11,England,3,8130,30,0.037
Calves,AnteMortem,Suspect Fever,2017-11,England,2,8130,30,0.025
Calves,AnteMortem,Suspect Fever,2017-12,England,2,4573,25,0.044
Calves,Carcases,Abscesses ??? Forequarters,2017-10,England,4,8428,28,0.047
Calves,Carcases,Abscesses ??? Forequarters,2017-11,England,2,8130,30,0.025
